iter	Passed	Remaining
0	0	258
1	1	251
2	2	249
3	3	248
4	3	246
5	4	257
6	5	264
7	6	266
8	7	263
9	8	260
10	9	257
11	10	257
12	10	256
13	11	254
14	12	252
15	13	250
16	14	249
17	14	249
18	15	248
19	16	246
20	17	245
21	18	244
22	19	244
23	20	251
24	21	250
25	22	249
26	22	247
27	23	245
28	24	242
29	25	242
30	26	241
31	26	239
32	27	238
33	28	237
34	29	236
35	30	235
36	30	235
37	31	233
38	32	232
39	33	231
40	34	230
41	34	229
42	35	228
43	36	227
44	37	227
45	38	226
46	39	225
47	40	225
48	41	225
49	41	224
50	42	224
51	43	224
52	44	223
53	45	222
54	46	221
55	47	220
56	47	219
57	48	218
58	49	217
59	50	216
60	51	215
61	52	214
62	52	214
63	53	213
64	54	212
65	55	212
66	56	211
67	57	210
68	58	209
69	58	208
70	59	207
71	60	206
72	60	204
73	61	203
74	62	202
75	63	201
76	64	201
77	65	200
78	66	200
79	67	199
80	67	198
81	68	197
82	69	196
83	70	195
84	71	195
85	72	194
86	72	193
87	73	192
88	74	191
89	75	190
90	76	190
91	77	189
92	77	188
93	78	187
94	79	186
95	80	185
96	81	184
97	81	183
98	82	183
99	83	181
100	84	180
101	85	180
102	86	180
103	87	179
104	87	178
105	88	177
106	89	176
107	90	175
108	91	174
109	91	173
110	92	172
111	93	171
112	94	170
113	94	169
114	95	168
115	96	168
116	97	167
117	98	166
118	99	165
119	99	164
120	100	163
121	101	163
122	102	162
123	103	161
124	104	160
125	104	159
126	105	159
127	106	158
128	107	157
129	108	156
130	109	155
131	109	154
132	110	154
133	111	153
134	112	152
135	113	151
136	114	150
137	114	149
138	115	149
139	116	148
140	117	147
141	118	147
142	119	146
143	120	145
144	121	144
145	122	144
146	123	143
147	124	142
148	124	141
149	125	140
150	126	140
151	127	139
152	128	138
153	129	137
154	129	136
155	130	135
156	131	135
157	132	134
158	133	133
159	134	132
160	135	131
161	136	131
162	136	130
163	137	129
164	138	128
165	139	127
166	139	126
167	140	125
168	141	124
169	142	123
170	143	123
171	143	122
172	144	121
173	145	120
174	146	119
175	147	118
176	148	117
177	148	117
178	149	116
179	150	115
180	151	114
181	152	113
182	153	113
183	153	112
184	154	111
185	155	110
186	156	109
187	157	108
188	158	108
189	159	107
190	159	106
191	160	105
192	161	104
193	162	103
194	163	102
195	163	101
196	164	101
197	165	100
198	166	99
199	167	98
200	168	97
201	168	97
202	169	96
203	170	95
204	171	94
205	172	93
206	173	92
207	173	92
208	174	91
209	175	90
210	176	89
211	177	88
212	178	87
213	179	87
214	179	86
215	180	85
216	181	84
217	182	83
218	183	82
219	184	82
220	184	81
221	185	80
222	186	79
223	187	78
224	188	77
225	189	76
226	189	76
227	190	75
228	191	74
229	192	73
230	193	72
231	194	71
232	194	71
233	195	70
234	196	69
235	197	68
236	198	67
237	199	66
238	200	66
239	201	65
240	202	64
241	202	63
242	203	62
243	204	62
244	205	61
245	206	60
246	206	59
247	207	58
248	209	58
249	210	57
250	211	56
251	211	55
252	212	54
253	213	53
254	214	52
255	214	52
256	215	51
257	216	50
258	217	49
259	218	48
260	219	47
261	219	46
262	220	46
263	221	45
264	222	44
265	223	43
266	223	42
267	224	41
268	225	41
269	226	40
270	227	39
271	228	38
272	229	37
273	229	36
274	230	36
275	231	35
276	232	34
277	233	33
278	234	32
279	235	31
280	236	31
281	236	30
282	237	29
283	238	28
284	239	27
285	240	26
286	241	26
287	242	25
288	243	24
289	243	23
290	244	22
291	245	21
292	246	21
293	247	20
294	248	19
295	249	18
296	249	17
297	250	16
298	251	15
299	252	15
300	253	14
301	254	13
302	254	12
303	255	11
304	256	10
305	257	10
306	258	9
307	259	8
308	260	7
309	260	6
310	261	5
311	262	5
312	263	4
313	264	3
314	265	2
315	265	1
316	266	0
317	267	0
