model,AUC,AUC_lo,AUC_hi,PR_AUC,PR_lo,PR_hi,F1,Bal_Acc,Brier,MCC,thr,ablation,meta
[C_CL] Stacking L2 LR (C=10),0.7843709010190697,0.7496536346876628,0.815673659774846,0.31291288625657754,0.25951780156347415,0.3763140569521154,0.4251968503937008,0.7107456361618403,0.10997447633101884,0.31871470676255415,0.19000000000000003,+CL,Stacking L2 LR (C=10)
[A_base] Stacking L2 LR (C=10),0.7834998150203477,0.7494994295296321,0.8150216832371721,0.3106914887917981,0.2568810627400584,0.3712766208319262,0.4118895966029724,0.690058184508795,0.11025350908058452,0.29671552208178326,0.18000000000000002,base-v3 (rerun),Stacking L2 LR (C=10)
[A_base] Stacking L2 LR (bal),0.7832610231056403,0.7497303543373358,0.8157198237696401,0.30991365044091373,0.25643006549744374,0.3696677889863393,0.41014799154334036,0.6889886657922174,0.11076146166986126,0.29448148664355533,0.18000000000000002,base-v3 (rerun),Stacking L2 LR (bal)
[D_FEcCL] Mean-avg 5 bases,0.7830592271213802,0.7502070581146755,0.8141408179809164,0.32062529885338187,0.2664234141788827,0.3887317468158375,0.4113785557986871,0.6865065751858205,0.10948129498093682,0.29530027035911005,0.20000000000000004,+FE +CL (Phase 6 full),Mean-avg 5 bases
[C_CL] Mean-avg 5 bases,0.7829885985268894,0.748574026121651,0.8148987833388479,0.3115587952147053,0.2575064079406527,0.37342139047986767,0.4110854503464203,0.6809437325530555,0.10973991240647706,0.2943714590679318,0.21000000000000002,+CL,Mean-avg 5 bases
[D_FEcCL] Stacking L2 LR (C=10),0.7827868025426293,0.7484240352156699,0.814715476351379,0.31368480473434235,0.2602309175570042,0.379257206003381,0.4025974025974026,0.6801533649480376,0.11007471498734807,0.28377046095427266,0.20000000000000004,+FE +CL (Phase 6 full),Stacking L2 LR (C=10)
[A_base] RF,0.7825412840951133,0.7496502370387313,0.8148182430019189,0.31070897747132775,0.2587709288893919,0.37308791592093715,0.4024896265560166,0.6841758315676185,0.11036805060495916,0.28460239631912876,0.20000000000000004,base-v3 (rerun),RF
[D_FEcCL] Stacking L2 LR (bal),0.7817509164900952,0.7479208736250637,0.8147469797733314,0.3148466757511928,0.26118305721703394,0.3818237665505732,0.4,0.6705041536340093,0.11000999959963081,0.2801646518460801,0.21000000000000002,+FE +CL (Phase 6 full),Stacking L2 LR (bal)
[C_CL] Stacking L2 LR (bal),0.7813305081895537,0.7470818012369658,0.8118976897187943,0.3119210941599072,0.2581658934525974,0.37622368286978847,0.41732283464566927,0.7033868092691622,0.10995516886546983,0.3075858103453813,0.17000000000000004,+CL,Stacking L2 LR (bal)
[C_CL] RF,0.7812195203982107,0.7481271180912038,0.8113261175053532,0.3106286490617092,0.26143284953302787,0.37248747597271004,0.40618101545253865,0.6812867857262974,0.11011405537378785,0.2882583214754093,0.20000000000000004,+CL,RF
[A_base] Mean-avg 5 bases,0.7809033733562036,0.7467963211009653,0.8130043033396231,0.30986924944020666,0.25644947802082785,0.37014213657130146,0.41037735849056606,0.6783977398849763,0.11007853641974286,0.2935104099677558,0.20000000000000004,base-v3 (rerun),Mean-avg 5 bases
[B_FE] Stacking L2 LR (bal),0.7808798304913732,0.7473276010271499,0.8117407675754185,0.3102180223767015,0.25861116336598694,0.37096449392953024,0.40718562874251496,0.6924124709918272,0.1102406281624407,0.2925806543366176,0.19000000000000003,+FE,Stacking L2 LR (bal)
[C_CL] ET,0.7801096424847812,0.7453649232518024,0.8116561930170407,0.31194740751529343,0.25542379901730294,0.37460074733639337,0.39111111111111113,0.6681734100158073,0.10947678410380852,0.268279461843568,0.20000000000000004,+CL,ET
[B_FE] Stacking L2 LR (C=10),0.7795681565936838,0.7459200384298844,0.8107453373793437,0.30559401985992835,0.2549799237242484,0.3657150582623912,0.3982102908277405,0.6734571015370128,0.11037370200082712,0.2776276286226645,0.21000000000000002,+FE,Stacking L2 LR (C=10)
[B_FE] Mean-avg 5 bases,0.7794874381999799,0.7457212919905158,0.8110766894606808,0.3159550587448503,0.2597985036285625,0.3850388317993486,0.4088888888888889,0.6828910638011636,0.10978300818708,0.2917578716395293,0.21000000000000002,+FE,Mean-avg 5 bases
[A_base] ET,0.7785490868731714,0.7433398918479506,0.8106874493447549,0.32006858370086044,0.26098799695583347,0.3840745917680105,0.40159045725646125,0.6876635388289106,0.10938620807503824,0.28490784773701144,0.20000000000000004,base-v3 (rerun),ET
[D_FEcCL] ET,0.7761073554636263,0.7414190428153733,0.8084854097308679,0.3094520197548584,0.2575047051554158,0.3739876774017556,0.39832285115303984,0.6794908014663841,0.11064096715632885,0.2786327359715052,0.20000000000000004,+FE +CL (Phase 6 full),ET
[D_FEcCL] MTMLP,0.7757979349544277,0.7402643684886695,0.8094524948905445,0.30561911754199345,0.2519684501393681,0.3645796928286995,0.4107142857142857,0.6839605825177413,0.11027275616485298,0.29411168400199766,0.19000000000000003,+FE +CL (Phase 6 full),MTMLP
[B_FE] MTMLP,0.7757979349544277,0.7402643684886695,0.8094524948905445,0.30561911754199345,0.2519684501393681,0.3645796928286995,0.4107142857142857,0.6839605825177413,0.11027275616485298,0.29411168400199766,0.19000000000000003,+FE,MTMLP
[C_CL] NRBoost,0.7749638448861534,0.7409920093084846,0.8083613953616102,0.30611584130002706,0.2532673080777324,0.3705301430087545,0.41509433962264153,0.6942084552517405,0.11084123345343358,0.3014797014304189,0.20000000000000004,+CL,NRBoost
[B_FE] ET,0.7747082366394242,0.7410922457705519,0.8060159838390983,0.3067151742454894,0.2580080730132556,0.3733031768491909,0.39035087719298245,0.6686442673124138,0.11081554192068668,0.26729975506719544,0.20000000000000004,+FE,ET
[D_FEcCL] RF,0.7740591262233881,0.7401746167877254,0.8068482417962347,0.307473554290154,0.2577923751328353,0.37465918696180367,0.39400428265524623,0.6738001547102546,0.11059076957536235,0.27239422173028405,0.19000000000000003,+FE +CL (Phase 6 full),RF
[C_CL] Stacking convex combo,0.7727810849897421,0.7379529166685123,0.8074664549553346,0.31722389247059785,0.2584936009692681,0.3824826300272929,0.40454545454545454,0.6772004170450341,0.11005504088323996,0.2858911227257834,0.20000000000000004,+CL,Stacking convex combo
[D_FEcCL] Stacking convex combo,0.7725691992062692,0.737223150799256,0.8067127586658375,0.31876712802261215,0.25977889707074436,0.38868144397494314,0.40086206896551724,0.67908384623146,0.10977088053097185,0.2815155282153566,0.20000000000000004,+FE +CL (Phase 6 full),Stacking convex combo
[C_CL] MTMLP,0.7717485622036122,0.7369939360586958,0.8040568089330136,0.3025202105581311,0.25091900036547193,0.36372654613655386,0.4194915254237288,0.6968822520431843,0.11086233456324175,0.3070741412277965,0.18000000000000002,+CL,MTMLP
[A_base] MTMLP,0.7717485622036122,0.7369939360586958,0.8040568089330136,0.3025202105581311,0.25091900036547193,0.36372654613655386,0.4194915254237288,0.6968822520431843,0.11086233456324175,0.3070741412277965,0.18000000000000002,base-v3 (rerun),MTMLP
[A_base] Stacking convex combo,0.7703326270473884,0.7341429674633991,0.803183666655499,0.30934221543319756,0.2533546200790488,0.3721335118328818,0.4067796610169492,0.6858440117041671,0.10975770219298803,0.2898579719814885,0.19000000000000003,base-v3 (rerun),Stacking convex combo
[B_FE] Stacking convex combo,0.769730602361013,0.7342202078281088,0.8048198832279253,0.3208442675980121,0.26208885254082576,0.38941072820198575,0.3973509933774834,0.6739279588336192,0.10971351801139438,0.2765572861262906,0.19000000000000003,+FE,Stacking convex combo
[A_base] NRBoost,0.7694850839134968,0.7338005615036924,0.8040641250731857,0.3072064013090429,0.2537244302485955,0.3715413512908763,0.40993788819875776,0.6909998991020079,0.11128285116047937,0.2948829301951315,0.20000000000000004,base-v3 (rerun),NRBoost
[B_FE] RF,0.7657215888070494,0.7311517466774424,0.7981231818500792,0.2945300168132588,0.24495697617153242,0.35726969943488995,0.37037037037037035,0.6483637708942925,0.11193334505446689,0.24166253354888634,0.20000000000000004,+FE,RF
[D_FEcCL] SVM,0.7653314499041469,0.7286621997513133,0.7999975704451373,0.32203533042204696,0.26093661158059855,0.3933631544285301,0.39832285115303984,0.6794908014663841,0.11053363523831874,0.2786327359715052,0.18000000000000002,+FE +CL (Phase 6 full),SVM
[D_FEcCL] NRBoost,0.7649514008004574,0.7278583364798172,0.799026891605696,0.3054397922573257,0.25161614748342387,0.37173360778514525,0.40823970037453183,0.7005213062926714,0.11170486417868015,0.2977932224821964,0.19000000000000003,+FE +CL (Phase 6 full),NRBoost
[C_CL] SVM,0.7638751555510713,0.7274757267568029,0.7993572549512559,0.30558811683808906,0.24764386579602943,0.36770184076487245,0.42016806722689076,0.6984226280563683,0.11065973165863087,0.3083084445607277,0.19000000000000003,+CL,SVM
[B_FE] SVM,0.7635489187098511,0.7256750968709703,0.8005571782078252,0.31839146603445234,0.25898633511572705,0.3869946973567153,0.39045553145336226,0.6696498839673091,0.11038660872470771,0.2674988183642456,0.19000000000000003,+FE,SVM
[A_base] SVM,0.7588134396125518,0.7216421606508253,0.7948075843504908,0.2982709389020404,0.2422049491769707,0.35859943466295563,0.4022140221402214,0.6962432314263612,0.11145658404112345,0.2899979063126763,0.16000000000000003,base-v3 (rerun),SVM
