model,AUC,AUC_lo,AUC_hi,PR_AUC,PR_lo,PR_hi,F1,Bal_Acc,Brier,MCC,thr
NRF q0.5 T5 b0.5,0.785265529882622,0.752235970149427,0.8173799894862749,0.3175012596408873,0.2650981203637558,0.3816724887207919,0.4066390041493776,0.6878552450139576,0.1109202092037284,0.2902881036943251,0.19
Stack + CL-v6 binary (Phase 6),0.7843709010190697,0.7496536346876628,0.815673659774846,0.31291288625657754,0.25951780156347415,0.3763140569521154,0.4251968503937008,0.7107456361618403,0.10997447633101806,0.31871470676255415,0.19000000000000003
"Stack + CL-v7 continuous (Phase 6d, OURS)",0.7836511620085427,0.7509226892637387,0.8152167909754935,0.3136284696159262,0.2610382107066686,0.3761966916806973,0.4051172707889126,0.6837688763326943,0.11092275556133474,0.28745339666961567,0.18000000000000002
"Stack (baseline rerun, no CL)",0.7834998150203477,0.7494994295296321,0.8150216832371721,0.3106914887917981,0.2568810627400584,0.3712766208319262,0.4118895966029724,0.690058184508795,0.11025350908058569,0.29671552208178326,0.18000000000000002
Stack v3 (Phase 5 production),0.7834998150203477,0.7494994295296321,0.8150216832371721,0.3106914887917981,0.2568810627400584,0.3712766208319262,0.4118895966029724,0.690058184508795,0.110253509080586,0.2967155220817832,0.18
RandomForest,0.7825412840951133,0.7496502370387313,0.8148182430019189,0.3107089774713277,0.2587709288893919,0.3730879159209371,0.4024896265560166,0.6841758315676185,0.1103680506049591,0.2846023963191287,0.2
RandomForest,0.7825412840951133,0.7496502370387313,0.8148182430019189,0.3107089774713277,0.2587709288893919,0.3730879159209371,0.4024896265560166,0.6841758315676185,0.1103680506049591,0.2846023963191287,0.2
ExtraTrees,0.7785490868731714,0.7433398918479506,0.8106874493447549,0.3200685837008604,0.2609879969558334,0.3840745917680105,0.4015904572564612,0.6876635388289106,0.1093862080750382,0.2849078477370114,0.2
MT-MLP (seed-avg),0.7717485622036122,0.7369939360586958,0.8040568089330136,0.3025202105581311,0.2509190003654719,0.3637265461365538,0.4194915254237288,0.6968822520431843,0.1108623345632417,0.3070741412277965,0.18
MLP (binary),0.7717283826051862,0.7376921597513552,0.8040373169434364,0.3040377065284573,0.2542191611346061,0.3735971552624115,0.4019138755980861,0.6705680556956917,0.200907324908132,0.2828387716360531,0.6200000000000001
CatBoost,0.7709951905290418,0.7348974696856189,0.8050092382274702,0.3118725104538912,0.2564508071853,0.3787597711470858,0.4157043879907621,0.6846231459993946,0.1693189155467053,0.3003573768415436,0.55
Voting (XGB+LGB+CAT),0.7707059496182692,0.7331297299843187,0.8035701564242976,0.3132898802918095,0.2601742075526235,0.3832746951502125,0.3992015968063872,0.685053644099149,0.1634815600303578,0.2813908890562729,0.4600000000000001
XGBoost,0.7666229442034104,0.729146203302329,0.799993764084116,0.3093020374289028,0.2555843188321557,0.3786800797517239,0.4032921810699588,0.6857162075808025,0.162948792644168,0.285964821937145,0.4700000000000001
LogReg,0.7665186829448761,0.7296326712548565,0.8009810139558494,0.3109650336987299,0.2542875435194232,0.3767147933232613,0.4054580896686159,0.6933541855850403,0.1105388244078804,0.2913200998730502,0.2
ICM-Net (full),0.7659872868529917,0.7297420360480197,0.7994425902366762,0.3039076121033706,0.2527653839568309,0.3639432223978174,0.3895582329317269,0.6756196818349982,0.1111411794237985,0.2676912800116378,0.2
LightGBM,0.7638179800221977,0.7261283983107018,0.7978756575165041,0.3126577087780792,0.2574703751515712,0.3846450887381087,0.398406374501992,0.6845188847408603,0.1650810900720986,0.2803549030395166,0.45
SVM-RBF,0.7588134396125518,0.7216421606508253,0.7948075843504908,0.2982709389020404,0.2422049491769707,0.3585994346629556,0.4022140221402214,0.6962432314263612,0.1114565840411234,0.2899979063126763,0.16
