feature,RF_imp,NRBoost_imp,ET_imp,meta_weighted_imp,mean_abs_shap_rf,rank_meta_weighted,rank_shap_rf
工作单位性质,0.15630724815672078,0.1581919314403006,0.1745165112350803,0.16401824534820683,0.10301559020716294,1,1
高校类型,0.11946204759716893,0.22098324320187213,0.170493524627021,0.14308667986446497,0.07201345173657456,2,2
收入水平,0.1701256849236924,0.07186057177284245,0.0795445382472634,0.12990697245543084,0.059739834017907806,3,3
工作满意度,0.13484015310572597,0.06860728271377918,0.08507686562232812,0.11248848985296878,0.041748671926169725,4,6
工作匹配度,0.11091164194488969,0.07565171100465944,0.10716144760955401,0.1085936009950379,0.0555283645776515,5,5
工作机会,0.08924698459828037,0.05138435054307349,0.06923491312651689,0.08002334820569156,0.03137080284815305,6,7
专业类型,0.0655210157995863,0.0964016444979823,0.0906786106432614,0.07676630377387794,0.05693964129941639,7,4
家庭所在地,0.036423380547678325,0.04696889240404646,0.04811332673381047,0.04156909062553607,0.008142199182789203,8,10
工作区域,0.03163135306295264,0.04969996866284975,0.04735824998849142,0.03863530603039385,0.012799181969273514,9,8
工作压力,0.029731995920288697,0.04700813838148286,0.044264546463452945,0.036216183221580656,0.00753322402162777,10,12
工作氛围,0.030305388724636815,0.0444939079356767,0.043412843018704614,0.036124551836086365,0.008117302082027324,11,11
性别,0.025493105618379072,0.06874835744143463,0.04014462268451529,0.032571227790724105,0.0082871332094848,12,9
