dimension,group,n,pos_rate,AUC,AUC_lo,AUC_hi,Sens,Spec,Bal_Acc,note
OVERALL,all,1094,0.1453382084095064,0.7843709010190697,0.7496536346876628,0.815673659774846,0.7295597484276729,0.6983957219251337,0.7139777351764033,
性别,男生,534,0.13857677902621723,0.8364717978848414,0.7926795552873814,0.8737746337495735,0.7162162162162162,0.7804347826086957,0.748325499412456,
性别,女生,560,0.15178571428571427,0.736829721362229,0.6807679843788421,0.7846059104619908,0.7411764705882353,0.6189473684210526,0.680061919504644,
高校类型,重点高校,216,0.032407407407407406,0.8427887901572112,0.6432103548966757,0.9763061119556471,0.14285714285714285,0.9665071770334929,0.5546821599453179,
高校类型,一般高校,650,0.14153846153846153,0.7539446002805049,0.7077947766671308,0.7970066721346886,0.6304347826086957,0.7222222222222222,0.6763285024154589,
高校类型,民办/独立,228,0.2631578947368421,0.6588789682539682,0.5892466050561976,0.7300015942724766,0.95,0.2857142857142857,0.6178571428571429,
家庭所在地,大中城市,331,0.16314199395770393,0.7752373311940098,0.7188060868609346,0.8285059006598967,0.7777777777777778,0.6678700361010831,0.7228239069394304,
家庭所在地,城镇/县,417,0.14148681055155876,0.7922308493513871,0.7367852680966834,0.8471733947944063,0.7627118644067796,0.6899441340782123,0.726327999242496,
家庭所在地,农村,346,0.1329479768786127,0.783768115942029,0.7160729284505801,0.8453064430702942,0.6304347826086957,0.7366666666666667,0.6835507246376812,
收入分位,low (<q33),265,0.2,0.6797347810608758,0.6014044971414656,0.7573937078019505,0.8113207547169812,0.49528301886792453,0.6533018867924528,
收入分位,mid,472,0.17372881355932204,0.783083176985616,0.7344314288735202,0.8300794398372737,0.7439024390243902,0.6717948717948717,0.707848655409631,
收入分位,high (>=q67),357,0.06722689075630252,0.8361486486486486,0.7761740883229367,0.8910461047876345,0.5,0.8588588588588588,0.6794294294294294,
专业类型,理工科类,547,0.09872029250457039,0.8105138607167004,0.7633050932138143,0.8524879115700615,0.5555555555555556,0.8275862068965517,0.6915708812260537,
专业类型,人文社科类,547,0.19195612431444242,0.7392264598146951,0.6928019684423461,0.7833413870008497,0.819047619047619,0.5542986425339367,0.6866731307907779,
