baseline,AUC_ICM,AUC_baseline,ΔAUC,z,p_value,significant_05
ICM-Net −Mixup,0.7659872868529917,0.7567113981098442,0.009275888743147442,2.4971814842127316,0.01251848703586278,True
MT-MLP (lam=0.7),0.7659872868529917,0.7359499545959035,0.030037332257088156,2.1402451305337826,0.0323349616891222,True
RandomForest,0.7659872868529917,0.7825412840951131,-0.016553997242121476,-1.5893290842959347,0.11198611576326245,False
Vanilla MLP,0.7659872868529917,0.7725288400094171,-0.006541553156425461,-0.783189196104723,0.433516018330822,False
SVM-RBF,0.7659872868529917,0.7578179127568695,0.008169374096122173,0.6847156911497557,0.4935233455000878,False
Voting (MT+3 trees),0.7659872868529917,0.7734470117377997,-0.007459724884808061,-0.5767428810232458,0.5641131603102174,False
ICM-Net −SCE,0.7659872868529917,0.7642417515891433,0.0017455352638483523,0.42207695721450966,0.6729688464820407,False
ICM-Net −cascade,0.7659872868529917,0.7649211314028184,0.0010661554501733006,0.39442900192074604,0.6932643352612489,False
CatBoost,0.7659872868529917,0.770460431170753,-0.004473144317761357,-0.3871919065110013,0.6986141414411311,False
LightGBM,0.7659872868529917,0.7619715467662194,0.004015740086772301,0.2600666187731869,0.7948123865357646,False
Voting (3 trees),0.7659872868529917,0.7694010022533885,-0.0034137154003968107,-0.258114397045216,0.7963186207307726,False
XGBoost,0.7659872868529917,0.7644637271718293,0.0015235596811623564,0.10501597095806907,0.9163631358027753,False
LogReg,0.7659872868529917,0.766518682944876,-0.0005313960918843508,-0.0660908709525593,0.9473054788861521,False
