model,AUC,AUC_lo,AUC_hi,PR_AUC,PR_lo,PR_hi,F1,Bal_Acc,Brier,MCC,thr
RandomForest,0.7825412840951133,0.7496502370387313,0.8148182430019189,0.31070897747132775,0.2587709288893919,0.37308791592093715,0.4024896265560166,0.6841758315676185,0.11036805060495916,0.28460239631912876,0.20000000000000004
Voting (MT+3 trees),0.7734470117377998,0.7372539984458962,0.805865719096141,0.30606846130873755,0.25390556768726597,0.37025251915840096,0.411214953271028,0.6799381158981603,0.11186808177360356,0.29454687383665024,0.20000000000000004
Vanilla MLP,0.7725288400094172,0.7371244342943346,0.8068012811306713,0.31307272030512695,0.25909351550829535,0.382197709067539,0.4217391304347826,0.6959405374499714,0.10988074048584093,0.3092707280812719,0.18000000000000002
CatBoost,0.770460431170753,0.7346664575966163,0.8038742511184429,0.2999858300653351,0.24727963433152012,0.3602222727209577,0.41570438799076215,0.6846231459993946,0.11117036236596103,0.3003573768415436,0.20000000000000004
Voting (3 trees),0.7694010022533885,0.7314858766994843,0.8027757117175721,0.30241898846340187,0.25023733273773874,0.3691144770654966,0.4,0.6855884034574378,0.11161710827675637,0.282429801883824,0.17000000000000004
LogReg,0.7665186829448761,0.7296326712548565,0.8009810139558494,0.31096503369872996,0.2542875435194232,0.3767147933232613,0.40545808966861596,0.6933541855850403,0.11053882440788049,0.29132009987305024,0.20000000000000004
ICM-Net (full),0.7659872868529917,0.7297420360480197,0.7994425902366762,0.30390761210337064,0.25276538395683096,0.36394322239781746,0.3895582329317269,0.6756196818349982,0.11114117942379857,0.2676912800116378,0.20000000000000004
ICM-Net −cascade,0.7649211314028185,0.7272434785921043,0.7985986323192971,0.3027057619960921,0.2528206997353876,0.3657577675427501,0.38242894056847543,0.6503514613392527,0.11078263741477617,0.260924973077711,0.21000000000000002
XGBoost,0.7644637271718292,0.7277060816173375,0.7978746160975639,0.2950243466290239,0.24463984867382194,0.35517210022993695,0.40329218106995884,0.6857162075808025,0.1125761775316843,0.285964821937145,0.18000000000000002
ICM-Net −SCE,0.7642417515891434,0.7272992091878592,0.7982724180618512,0.3004221673711871,0.25019391044775263,0.3631977747887692,0.38392857142857145,0.6618841018397067,0.11201353771837674,0.2588163461628271,0.20000000000000004
LightGBM,0.7619715467662194,0.7247347273777204,0.7972017212968202,0.30543611196912046,0.2518595809192334,0.3658191372045182,0.4074844074844075,0.6883900043722463,0.11150889764338041,0.2913772455074729,0.19000000000000003
SVM-RBF,0.7578179127568695,0.7197897919859473,0.7943530103256855,0.2980665018038842,0.24178961089454223,0.3594354608187756,0.4022140221402214,0.6962432314263612,0.11152540460353982,0.2899979063126763,0.16000000000000003
ICM-Net −Mixup,0.7567113981098444,0.7174361979754765,0.7916716716461004,0.29193900172590614,0.24085493312977593,0.3517144524158851,0.389937106918239,0.672131974573706,0.11281263778302814,0.26720925324204836,0.18000000000000002
MT-MLP (lam=0.7),0.7359499545959036,0.7008241393550686,0.7693357949141041,0.26219388526960447,0.21881767921441056,0.31458132465270455,0.2682926829268293,0.5748965795580668,0.11903969563318544,0.19512907512889197,0.18000000000000002
