champion,baseline,AUC_champ,AUC_base,ΔAUC,z,p_value,significant_05
Mean-avg of 4 bases,LightGBM,0.7729559748427672,0.7549793159116134,0.017976658931153855,3.4851164965389927,0.0004919228201234471,True
Mean-avg of 4 bases,XGBoost,0.7729559748427672,0.7644637271718293,0.008492247670937925,1.7473614237977269,0.08057466455025564,False
Mean-avg of 4 bases,Stacking — L2 logistic,0.7729559748427672,0.7839437661857196,-0.010987791342952358,-1.69412590087072,0.09024136151596074,False
Mean-avg of 4 bases,Stacking — convex combo,0.7729559748427672,0.766821376921266,0.006134597921501284,1.597806569662087,0.11008603210389678,False
Mean-avg of 4 bases,RandomForest,0.7729559748427672,0.7825412840951131,-0.009585309252345908,-1.4262854756676686,0.1537859553665959,False
Mean-avg of 4 bases,NR-Boost (q=0.7),0.7729559748427672,0.7694850839134968,0.0034708909292704426,0.7628757840463833,0.4455374793832716,False
Stacking — L2 logistic,LightGBM,0.7839437661857196,0.7549793159116134,0.028964450274106213,3.034225610804816,0.002411540131385115,True
Stacking — L2 logistic,Stacking — convex combo,0.7839437661857196,0.766821376921266,0.01712238926445364,2.642216022535715,0.008236550355727124,True
Stacking — L2 logistic,XGBoost,0.7839437661857196,0.7644637271718293,0.019480039013890282,2.1822470311450233,0.02909130595583087,True
Stacking — L2 logistic,NR-Boost (q=0.7),0.7839437661857196,0.7694850839134968,0.0144586822722228,2.0594569391937942,0.03945048601781109,True
Stacking — L2 logistic,Mean-avg of 4 bases,0.7839437661857196,0.7729559748427672,0.010987791342952358,1.69412590087072,0.09024136151596074,False
Stacking — L2 logistic,RandomForest,0.7839437661857196,0.7825412840951131,0.0014024820906064495,0.5742211364841179,0.5658181680298728,False
Stacking — convex combo,LightGBM,0.766821376921266,0.7549793159116134,0.011842061009652571,2.6844530323662505,0.007264859002557689,True
Stacking — convex combo,Stacking — L2 logistic,0.766821376921266,0.7839437661857196,-0.01712238926445364,-2.642216022535715,0.008236550355727124,True
Stacking — convex combo,RandomForest,0.766821376921266,0.7825412840951131,-0.015719907173847192,-2.5401371039271035,0.011080902112104551,True
Stacking — convex combo,Mean-avg of 4 bases,0.766821376921266,0.7729559748427672,-0.006134597921501284,-1.597806569662087,0.11008603210389678,False
Stacking — convex combo,NR-Boost (q=0.7),0.766821376921266,0.7694850839134968,-0.002663706992230841,-0.42550772809922305,0.6704665891586887,False
Stacking — convex combo,XGBoost,0.766821376921266,0.7644637271718293,0.002357649749436641,0.3567365815670519,0.7212890168734845,False
