champion,baseline,AUC_champ,AUC_base,ΔAUC,z,p_value,significant_05
Mean-avg of 4 bases,SVM-RBF,0.7850973665624054,0.7588134396125517,0.02628392694985371,3.1750846426292503,0.0014979280030860131,True
Mean-avg of 4 bases,NR-Boost (q=0.7),0.7850973665624054,0.7694850839134968,0.015612282648908571,2.6094491679154106,0.009068811845344138,True
Mean-avg of 4 bases,Stacking — convex combo,0.7850973665624054,0.7701846433255978,0.01491272323680759,2.5218937069646485,0.01167249730512876,True
Mean-avg of 4 bases,MT-MLP (intent-aux),0.7850973665624054,0.7669693606430565,0.018128005919348822,2.362234591143831,0.018165143275492124,True
Mean-avg of 4 bases,Stacking — L2 logistic,0.7850973665624054,0.7871052366057916,-0.0020078700433862062,-0.5396359965517674,0.5894480869819922,False
Mean-avg of 4 bases,RandomForest,0.7850973665624054,0.7825412840951131,0.00255608246729222,0.47395079995893175,0.6355349923331102,False
Stacking — L2 logistic,SVM-RBF,0.7871052366057916,0.7588134396125517,0.028291796993239915,3.1156472048260455,0.0018354171449648238,True
Stacking — L2 logistic,MT-MLP (intent-aux),0.7871052366057916,0.7669693606430565,0.020135875962735028,2.614284747227956,0.00894144823941101,True
Stacking — L2 logistic,Stacking — convex combo,0.7871052366057916,0.7701846433255978,0.016920593280193796,2.4663687131574505,0.013649075376082287,True
Stacking — L2 logistic,NR-Boost (q=0.7),0.7871052366057916,0.7694850839134968,0.017620152692294777,2.4530180434036732,0.014166323260183189,True
Stacking — L2 logistic,RandomForest,0.7871052366057916,0.7825412840951131,0.004563952510678426,1.4384836009432056,0.15029688716742173,False
Stacking — L2 logistic,Mean-avg of 4 bases,0.7871052366057916,0.7850973665624054,0.0020078700433862062,0.5396359965517674,0.5894480869819922,False
Stacking — convex combo,SVM-RBF,0.7701846433255978,0.7588134396125517,0.011371203713046119,3.0369771417583875,0.0023896357621127073,True
Stacking — convex combo,Mean-avg of 4 bases,0.7701846433255978,0.7850973665624054,-0.01491272323680759,-2.5218937069646485,0.01167249730512876,True
Stacking — convex combo,Stacking — L2 logistic,0.7701846433255978,0.7871052366057916,-0.016920593280193796,-2.4663687131574505,0.013649075376082287,True
Stacking — convex combo,RandomForest,0.7701846433255978,0.7825412840951131,-0.01235664076951537,-1.5144606065203858,0.12990905782334594,False
Stacking — convex combo,MT-MLP (intent-aux),0.7701846433255978,0.7669693606430565,0.0032152826825412317,0.3463622317266396,0.7290705052087736,False
Stacking — convex combo,NR-Boost (q=0.7),0.7701846433255978,0.7694850839134968,0.0006995594121009807,0.07641181231463433,0.9390914722142605,False
