champion,baseline,AUC_champ,AUC_base,ΔAUC,z,p_value,significant_05
Mean-avg 5 bases,SVM-RBF,0.7809033733562035,0.7588134396125517,0.02208993374365187,2.6644336693986097,0.007711807334669363,True
Mean-avg 5 bases,NR-Boost (q=0.7),0.7809033733562035,0.7694850839134968,0.01141828944270673,1.8879743237939828,0.05902939752109093,False
Mean-avg 5 bases,Stacking — convex combo,0.7809033733562035,0.7698617697507819,0.011041603605421613,1.8098654739834639,0.07031665143553378,False
Mean-avg 5 bases,MT-MLP (seed-avg),0.7809033733562035,0.7717485622036121,0.009154811152591424,1.2981979434329012,0.19421932464983716,False
Mean-avg 5 bases,Stacking — L2 LR (C=10),0.7809033733562035,0.7834998150203477,-0.002596441664144189,-0.6836198829228495,0.4942152260445316,False
Mean-avg 5 bases,Stacking — L2 LR (bal),0.7809033733562035,0.7832610231056402,-0.002357649749436641,-0.6296679399880865,0.5289118625141309,False
Mean-avg 5 bases,Rank-avg 5 bases,0.7809033733562035,0.779194834022803,0.0017085393334005383,0.5798924780761926,0.5619871285304068,False
Mean-avg 5 bases,ExtraTrees,0.7809033733562035,0.7785490868731713,0.002354286483032264,0.42385432015426333,0.6716720598994814,False
Mean-avg 5 bases,RandomForest,0.7809033733562035,0.7825412840951131,-0.0016379107389096204,-0.32183661537978697,0.7475764737974324,False
Rank-avg 5 bases,SVM-RBF,0.779194834022803,0.7588134396125517,0.02038139441025133,2.853225167300165,0.004327794460736278,True
Rank-avg 5 bases,Stacking — convex combo,0.779194834022803,0.7698617697507819,0.009333064272021074,1.832602160589986,0.06686175662136051,False
Rank-avg 5 bases,NR-Boost (q=0.7),0.779194834022803,0.7694850839134968,0.009709750109306192,1.3824340031076696,0.16683848156787784,False
Rank-avg 5 bases,MT-MLP (seed-avg),0.779194834022803,0.7717485622036121,0.007446271819190886,1.1603351790661296,0.2459123668956329,False
Rank-avg 5 bases,Stacking — L2 LR (C=10),0.779194834022803,0.7834998150203477,-0.004304980997544727,-1.1075603780966465,0.2680517230408659,False
Rank-avg 5 bases,Stacking — L2 LR (bal),0.779194834022803,0.7832610231056402,-0.004066189082837179,-1.0739954024865472,0.28282474213298325,False
Rank-avg 5 bases,RandomForest,0.779194834022803,0.7825412840951131,-0.0033464500723101587,-0.6655309258330204,0.5057109700008326,False
Rank-avg 5 bases,Mean-avg 5 bases,0.779194834022803,0.7809033733562035,-0.0017085393334005383,-0.5798924780761926,0.5619871285304068,False
Rank-avg 5 bases,ExtraTrees,0.779194834022803,0.7785490868731713,0.0006457471496317257,0.12635167313637002,0.8994535547253091,False
Stacking — L2 LR (C=10),SVM-RBF,0.7834998150203477,0.7588134396125517,0.024686375407796057,2.5786201988314295,0.009919578264432127,True
Stacking — L2 LR (C=10),MT-MLP (seed-avg),0.7834998150203477,0.7717485622036121,0.011751252816735613,1.9154630402132993,0.05543347827980871,False
Stacking — L2 LR (C=10),NR-Boost (q=0.7),0.7834998150203477,0.7694850839134968,0.01401473110685092,1.8445854260197763,0.06509786864422873,False
Stacking — L2 LR (C=10),Stacking — convex combo,0.7834998150203477,0.7698617697507819,0.013638045269565802,1.7895270336042024,0.07352997777029224,False
Stacking — L2 LR (C=10),Rank-avg 5 bases,0.7834998150203477,0.779194834022803,0.004304980997544727,1.1075603780966465,0.2680517230408659,False
Stacking — L2 LR (C=10),ExtraTrees,0.7834998150203477,0.7785490868731713,0.004950728147176453,1.003103420198726,0.3158109646637679,False
Stacking — L2 LR (C=10),Mean-avg 5 bases,0.7834998150203477,0.7809033733562035,0.002596441664144189,0.6836198829228495,0.4942152260445316,False
Stacking — L2 LR (C=10),RandomForest,0.7834998150203477,0.7825412840951131,0.0009585309252345686,0.20273576560029116,0.8393415667270883,False
Stacking — L2 LR (C=10),Stacking — L2 LR (bal),0.7834998150203477,0.7832610231056402,0.0002387919147075479,0.16231182498264113,0.8710603031679345,False
Stacking — L2 LR (bal),SVM-RBF,0.7832610231056402,0.7588134396125517,0.02444758349308851,2.5346454105954948,0.011256119989152769,True
Stacking — L2 LR (bal),NR-Boost (q=0.7),0.7832610231056402,0.7694850839134968,0.013775939192143372,1.8199423111262556,0.06876779059239446,False
Stacking — L2 LR (bal),MT-MLP (seed-avg),0.7832610231056402,0.7717485622036121,0.011512460902028065,1.7937829061146902,0.07284782637185683,False
Stacking — L2 LR (bal),Stacking — convex combo,0.7832610231056402,0.7698617697507819,0.013399253354858254,1.753640753976335,0.07949208320589429,False
Stacking — L2 LR (bal),Rank-avg 5 bases,0.7832610231056402,0.779194834022803,0.004066189082837179,1.0739954024865472,0.28282474213298325,False
Stacking — L2 LR (bal),ExtraTrees,0.7832610231056402,0.7785490868731713,0.004711936232468905,0.978088884433842,0.3280303649597158,False
Stacking — L2 LR (bal),Mean-avg 5 bases,0.7832610231056402,0.7809033733562035,0.002357649749436641,0.6296679399880865,0.5289118625141309,False
Stacking — L2 LR (bal),RandomForest,0.7832610231056402,0.7825412840951131,0.0007197390105270207,0.16381398538380032,0.8698775816669697,False
Stacking — L2 LR (bal),Stacking — L2 LR (C=10),0.7832610231056402,0.7834998150203477,-0.0002387919147075479,-0.16231182498264113,0.8710603031679345,False
Stacking — convex combo,SVM-RBF,0.7698617697507819,0.7588134396125517,0.011048330138230256,2.8374492104908287,0.004547558123840778,True
Stacking — convex combo,Rank-avg 5 bases,0.7698617697507819,0.779194834022803,-0.009333064272021074,-1.832602160589986,0.06686175662136051,False
Stacking — convex combo,Mean-avg 5 bases,0.7698617697507819,0.7809033733562035,-0.011041603605421613,-1.8098654739834639,0.07031665143553378,False
Stacking — convex combo,Stacking — L2 LR (C=10),0.7698617697507819,0.7834998150203477,-0.013638045269565802,-1.7895270336042024,0.07352997777029224,False
Stacking — convex combo,Stacking — L2 LR (bal),0.7698617697507819,0.7832610231056402,-0.013399253354858254,-1.753640753976335,0.07949208320589429,False
Stacking — convex combo,RandomForest,0.7698617697507819,0.7825412840951131,-0.012679514344331233,-1.5369012413136012,0.12431749550407001,False
Stacking — convex combo,ExtraTrees,0.7698617697507819,0.7785490868731713,-0.008687317122389349,-1.1172969672863013,0.2638673717657207,False
Stacking — convex combo,MT-MLP (seed-avg),0.7698617697507819,0.7717485622036121,-0.0018867924528301883,-0.23698295247345771,0.8126700155526749,False
Stacking — convex combo,NR-Boost (q=0.7),0.7698617697507819,0.7694850839134968,0.00037668583728511784,0.04077562210416664,0.9674747739341509,False
