model,AUC,AUC_lo,AUC_hi,PR_AUC,PR_lo,PR_hi,F1,Bal_Acc,Brier,MCC,thr
Stacking — L2 LR (C=10),0.7834998150203477,0.7494994295296321,0.8150216832371721,0.3106914887917981,0.2568810627400584,0.3712766208319262,0.4118895966029724,0.690058184508795,0.11025350908058604,0.29671552208178326,0.18000000000000002
Stacking — L2 LR (bal),0.7832610231056403,0.7497303543373358,0.8157198237696401,0.30991365044091373,0.25643006549744374,0.3696677889863393,0.41014799154334036,0.6889886657922174,0.11076146166985955,0.29448148664355533,0.18000000000000002
RandomForest,0.7825412840951133,0.7496502370387313,0.8148182430019189,0.31070897747132775,0.2587709288893919,0.37308791592093715,0.4024896265560166,0.6841758315676185,0.11036805060495916,0.28460239631912876,0.20000000000000004
Mean-avg 5 bases,0.7809033733562036,0.7467963211009653,0.8130043033396231,0.30986924944020666,0.25644947802082785,0.37014213657130146,0.41037735849056606,0.6783977398849763,0.11007853641974286,0.2935104099677558,0.20000000000000004
Rank-avg 5 bases,0.7791948340228031,0.7446922732937223,0.8110103817305578,0.3133767866103115,0.25726068902588106,0.3759460679470854,0.4043956043956044,0.6802172670097199,0.10998094901555396,0.2859456284336491,0.18000000000000002
ExtraTrees,0.7785490868731714,0.7433398918479506,0.8106874493447549,0.32006858370086044,0.26098799695583347,0.3840745917680105,0.40159045725646125,0.6876635388289106,0.10938620807503822,0.28490784773701144,0.20000000000000004
MT-MLP (seed-avg),0.7717485622036122,0.7369939360586958,0.8040568089330136,0.3025202105581311,0.25091900036547193,0.36372654613655386,0.4194915254237288,0.6968822520431843,0.11086233456324175,0.3070741412277965,0.18000000000000002
Stacking — convex combo,0.7698617697507819,0.7335723231768861,0.8031888241331788,0.3036771325472755,0.24871708318448257,0.365270796527714,0.40764331210191085,0.6863787710624558,0.11022681746886659,0.2909712859968873,0.20000000000000004
NR-Boost (q=0.7),0.7694850839134968,0.7338005615036924,0.8040641250731857,0.3072064013090429,0.2537244302485955,0.3715413512908763,0.40993788819875776,0.6909998991020079,0.11128285116047937,0.2948829301951315,0.20000000000000004
SVM-RBF,0.7588134396125518,0.7216421606508253,0.7948075843504908,0.2982709389020404,0.2422049491769707,0.35859943466295563,0.4022140221402214,0.6962432314263612,0.11145658404112345,0.2899979063126763,0.16000000000000003
